ID;Name;Type;Harshness;Vegan;CG;Notes
269;Pinus Sibirica Seed Oil;Emollient;N/A;Yes;Yes;
270;Aloe Barbadensis Leaf Extract;Humectant;N/A;Yes;Yes;
271;Cysteine;Protein;N/A;Not specified;Yes;
272;Lysine;Protein;N/A;Yes;Yes;
273;Hippophae Rhamnoides Oil;Emollient;N/A;Yes;Yes;
274;Panax Ginseng Root Extract;Extract;N/A;Yes;Yes;
275;Lecithin;Emulsifier;N/A;Not specified;Yes;
276;Beeswax;Emollient;N/A;No;No;
277;Niacin;Vitamin;N/A;Yes;Yes;
278;Silk Amino Acids;Protein;N/A;Yes;Yes;
279;Tocopheryl Acetate ;Preservative;N/A;Yes;Yes;
280;Aspartic Acid;Goodie;N/A;Yes;Yes;
281;Juniperus Communis Fruit Extract;Extract;N/A;Yes;Yes;
282;Taurine;Protein;N/A;Yes;Yes;
283;Hydroxylysine;Protein;N/A;Yes;Yes;
284;Ci 45380;Barwnik;N/A;Yes;Yes;
285;Persea Gratissima Oil;Emollient;N/A;Yes;Yes;
286;Vegetable Glycerin;Humectant;N/A;Yes;Yes;
287;Citrus Limon Peel Extract;Extract;N/A;Yes;Yes;
288;Inulin;Humectant;N/A;Yes;Yes;
289;Saccharum Officinarum Extract;Extract;N/A;Yes;Yes;
290;Malic Acid;Goodie;N/A;Yes;Yes;
291;Ceramide 2;Goodie;N/A;Yes;Yes;
292;Macadamia Ternifolia Seed Oil;Emollient;N/A;Yes;Yes;
293;Lauryl Hydroxysultaine;Detergent;Gentle;Yes;Yes;
294;Sodium Cocoamphoacetate;Detergent;Gentle;Yes;Yes;
295;Sodium Lauroamphoacetate;Detergent;Gentle;Yes;Yes;
296;Cocoamphocarboxyglycinate;Detergent;Gentle;Yes;Yes;
297;Lauramidopropyl Betaine;Detergent;Gentle;Yes;Yes;
298;Olivamidopropyl Betaine;Detergent;Gentle;Yes;Yes;
299;Cocamidopropylamine Oxide;Detergent;Gentle;Yes;Yes;
300;Capryl Glucoside;Detergent;Gentle;Yes;Yes;
301;Caprylyl Glucoside;Detergent;Gentle;Yes;Yes;
302;Decyl Glucoside;Detergent;Gentle;Yes;Yes;
303;Decyl Polyglucose;Detergent;Gentle;Yes;Yes;
304;Lauryl Glucoside;Detergent;Gentle;Yes;Yes;
